Fecha,Tiempo_en_redes_sociales,Tipo_de_contenido,Interacciones,Estado_de_animo 
1992-01-11,0.665505226,2,0.975708502,0.333333333
1987-06-20,0.829268293,0,0.471659919,0.888888889
1990-06-27,0.801393728,2,0.552631579,0.444444444
1997-05-06,0.411149826,2,0.886639676,0
2004-09-05,0.557491289,2,0.767206478,0.333333333
1989-04-04,0.097560976,1,0.402834008,0.888888889
1992-09-07,0.174216028,2,0.854251012,0.333333333
2004-03-20,0.909407666,2,0.168016194,0.333333333
1990-07-20,0.965156794,0,0.886639676,0.333333333
1990-10-12,0.860627178,0,0.293522267,0.555555556
1982-09-21,0.602787456,0,0.665991903,0.555555556
2004-03-11,0.111498258,1,0,0.555555556
1993-06-13,0.296167247,2,0.550607287,1
2003-01-15,0.344947735,2,0.532388664,0.555555556
1996-03-16,0.93728223,0,0.421052632,0.444444444
2002-11-19,0.975609756,1,0.98582996,0.111111111
2002-03-07,0.386759582,1,0.336032389,0.555555556
1997-09-10,0.027874564,2,0.495951417,0.444444444
1998-09-16,0.233449477,0,0.453441296,0.777777778
1980-08-26,0.93728223,0,0.133603239,0.333333333
1988-02-26,0.24738676,1,0.562753036,1
1983-07-02,0.864111498,2,0.914979757,0.555555556
1981-01-26,0.282229965,1,0.502024291,0.888888889
1981-01-24,0.912891986,0,0.127530364,0
1991-10-15,0.473867596,0,0.29757085,0.333333333
2003-04-09,0.940766551,1,0.682186235,0
1999-05-11,0.808362369,1,0.068825911,0.333333333
1984-12-03,0.982578397,1,0.641700405,0.888888889
2002-09-28,0.236933798,1,0.914979757,0.888888889
1987-11-13,0.578397213,2,0.568825911,0.111111111
1988-08-08,0.777003484,1,0.244939271,1
1991-09-18,0.735191638,2,0.062753036,0.555555556
1992-07-15,0.069686411,1,0.390688259,0.222222222
1987-03-18,0.700348432,2,0.548582996,0.333333333
2000-03-20,0.254355401,2,0.680161943,0.222222222
2002-01-05,0.731707317,1,0.777327935,0.555555556
2003-12-05,0.75261324,1,0.834008097,0.333333333
1995-11-15,0.240418118,0,0.382591093,0.222222222
1984-08-08,0.554006969,1,0.649797571,0.777777778
1981-05-26,0.205574913,0,0.408906883,0.111111111
